name,ra_deg,dec_deg,vmag,spectral,parallax_mas,pmra_mas,pmdec_mas
HIP 3949,12.67136689,-50.98692422,5.24,F2III,13.06,62.99,44.67
HIP 3951,12.68155194,64.24758084,5.35,A4V comp SB,4.01,29.39,-12.85
HIP 3965,12.73860936,51.50803371,6.38,F2IV,15.0,137.97,-0.49
HIP 3988,12.81827283,61.80549823,6.04,K5Ib,1.31,-2.03,-1.87
HIP 3992,12.82629635,3.38517465,6.39,K0III,7.27,22.13,-63.64
HIP 4023,12.89079551,51.57145327,6.22,B9.5V,2.84,-3.2,-10.96
HIP 4104,13.16917061,-24.00592567,5.47,K1III,6.52,37.32,33.58
HIP 4147,13.25204382,-1.1442206,4.78,M0III,6.28,6.49,-16.29
HIP 4151,13.26783051,61.12355735,4.8,F8V,53.85,-68.45,169.72
HIP 4164,13.30164021,-24.77697293,6.44,F3V,13.43,104.49,39.95
HIP 4185,13.36756319,37.41831737,6.07,K3III:,8.72,11.25,-44.41
HIP 4200,13.40741156,-62.87135327,5.73,M4III,5.32,74.42,0.65
HIP 4212,13.4480292,52.68934453,6.27,A5m,11.72,75.18,-21.03
HIP 4257,13.573262,-8.74054656,6.15,G5IV,8.6,16.98,-47.34
HIP 4267,13.64674999,19.18843611,5.8,A1Vn,8.88,11.05,-7.69
HIP 4283,13.71984836,83.70746159,5.59,A4V,13.3,62.0,-10.71
HIP 4288,13.74174956,23.62844595,5.46,K1IV,25.69,137.06,-45.58
HIP 4292,13.75080422,58.97279657,4.83,K2III,8.02,-32.24,-40.69
HIP 4293,13.75124739,-69.52697888,5.45,G7III,15.52,7.92,-43.35
HIP 4298,13.77176755,48.67854824,6.28,M2.5IIIa,4.06,-23.51,-11.56
HIP 4317,13.81107289,24.55709613,6.19,M4III,5.64,23.51,-14.06
HIP 4346,13.92668443,-7.34703997,5.88,K5III,6.54,-6.99,-44.82
HIP 4363,13.98137347,-27.77582706,6.11,M1/M2III,1.75,10.75,-5.1
HIP 4366,13.99384283,27.20935396,6.08,A5IV,11.94,-19.87,11.09
HIP 4371,14.00627513,-11.26650685,5.35,K4III,6.24,-26.79,-8.01
HIP 4382,14.03800933,13.95196746,6.46,G8II,6.51,-1.91,-2.86
HIP 4383,14.05386154,57.99659583,6.2,K3III,6.56,41.83,-15.91
HIP 4422,14.16671042,59.18116582,4.62,G8III-IV,15.84,-92.56,-45.33
HIP 4427,14.17708808,60.71674966,2.15,B0IV:evar,5.32,25.65,-3.82
HIP 4436,14.18790699,38.49925513,3.86,A5V,23.93,152.78,36.82
HIP 4440,14.19558745,60.36284769,5.56,B8V,5.31,27.37,-4.77
HIP 4446,14.22912074,68.77574214,6.39,F0m,16.73,97.59,-35.05
HIP 4463,14.30178237,23.41775997,4.4,G8III-IV,13.44,-43.72,-46.06
HIP 4475,14.33138601,61.42193312,6.44,G8IV,5.67,60.0,-15.52
HIP 4501,14.41514948,45.83939494,6.1,K2III,7.42,11.25,-6.63
HIP 4510,14.4589515,28.9922356,5.44,G6III,4.63,5.28,-7.77
HIP 4520,14.47714727,13.69587909,6.3,G8III,6.24,-5.97,-5.76
HIP 4552,14.55914315,33.95105921,5.99,K0,17.19,35.25,-71.86
HIP 4558,14.57874183,21.40450332,6.47,A2V,7.62,-9.65,-3.49
HIP 4563,14.59240996,-60.69629569,6.23,Am,5.85,42.11,23.33
HIP 4572,14.62916229,66.35182541,5.97,A0III,8.67,43.44,-13.19
HIP 4577,14.65144118,-29.35746436,4.3,B7IIIp,4.85,22.44,6.3
HIP 4587,14.68286462,-11.37993895,5.62,G7III,10.35,-33.16,-15.02
HIP 4655,14.9569784,6.48323806,6.14,M2III,3.07,20.08,-5.29
HIP 4675,15.01477994,44.71330426,5.69,B9.5Vn,7.76,14.72,-25.24
HIP 4709,15.12861453,70.98300424,6.4,A4IV,9.18,76.68,-6.5
HIP 4770,15.32593934,-38.91664868,5.59,K1III,5.19,66.98,49.92
HIP 4786,15.36266775,49.54422654,6.48,G5,3.54,4.33,-2.68
HIP 4801,15.41083745,-16.26535068,6.47,K2/K3III,11.76,72.02,-91.55
HIP 4829,15.50755785,-57.00242929,6.12,G8III,8.86,6.46,16.53
HIP 4844,15.57695351,51.03497045,6.48,A3V,5.16,-4.18,-13.36
HIP 4852,15.60990729,-31.55204219,5.5,A1/A2IV,14.39,81.0,15.25
HIP 4879,15.67872783,-65.45611076,6.25,M2III,4.06,8.53,3.68
HIP 4889,15.70452742,31.80433674,5.5,B9.5V,7.87,15.53,-30.38
HIP 4890,15.7049656,-46.39733801,5.39,G8III,13.86,-2.21,10.96
HIP 4903,15.72614941,41.34519861,5.95,A5m,9.49,-16.96,-16.95
HIP 4906,15.73606615,7.89007256,4.27,K0III,17.14,-80.57,25.88
HIP 4911,15.75613404,47.37619549,6.46,A9V,9.68,86.92,-15.47
HIP 4914,15.76085267,-4.83635047,5.4,K0III-IV,7.95,-117.05,-102.91
HIP 4932,15.82401808,-29.52577074,6.28,G8IIICN...,8.93,-102.77,-31.82
HIP 4962,15.9041982,61.07482982,5.92,F0II,2.16,-1.54,-2.96
HIP 4979,15.95398626,1.36694516,6.06,F1V,17.66,122.42,-40.69
HIP 4998,16.00995036,52.50230919,5.99,K2,3.29,1.44,-61.03
HIP 5021,16.08145357,61.58024409,5.83,F6V,12.47,-79.86,-24.77
HIP 5034,16.11487415,29.65909865,6.2,F7IV-V,23.82,85.1,-120.26
HIP 5042,16.13586737,-33.53278805,6.44,K0III,6.3,-44.23,-23.51
HIP 5074,16.2192515,5.65630133,6.03,K5III,4.52,29.08,-16.31
